equipment_id,name,quantity,status,branch_id
600064,SKLZ Medicine Ball 808,19,normal,GY933203
600065,Concept2 Rowing Machine 111,5,normal,GY895647
600066,ProForm Elliptical 960,5,normal,GY380402
600067,Lululemon Yoga Mat 480,17,normal,GY733921
600068,Rogue Kettlebell 656,27,normal,GY417261
600069,Rogue Barbell 495,6,normal,GY212122
600070,Concept2 Rowing Machine 195,8,normal,GY165607
600071,CAP Kettlebell 953,24,normal,GY775302
600072,ProForm Elliptical 723,10,fix,GY509448
600073,Ivanko Barbell 333,5,normal,GY058706
600074,Lululemon Yoga Mat 484,27,normal,GY473306
600075,Peloton Stationary Bike 167,5,normal,GY909784
600076,NordicTrack Elliptical 903,14,normal,GY732028
600077,Matrix Elliptical 805,13,normal,GY293937
600078,Concept2 Rowing Machine 257,11,normal,GY114249
600079,Concept2 Rowing Machine 362,11,fix,GY137587
600080,Body-Solid Weight Bench 218,8,normal,GY399470
600081,Life Fitness Cable Machine 190,7,normal,GY716403
600082,Kettlebell Kings Kettlebell 876,16,normal,GY930378
600083,Yes4All Dumbbell Set 905,5,normal,GY449244
600084,Ivanko Barbell 738,4,normal,GY161621
600085,Concept2 Rowing Machine 871,9,normal,GY612381
600086,Rogue Weight Bench 156,3,normal,GY028745
600087,CAP Kettlebell 404,29,normal,GY810229
600088,Yes4All Dumbbell Set 802,10,normal,GY449137
600089,Gaiam Yoga Mat 476,29,normal,GY469295
600090,Dynamax Medicine Ball 186,27,fix,GY327682
600091,Body-Solid Weight Bench 646,3,normal,GY499491
600092,TheraBand Resistance Bands 861,12,normal,GY177864
600093,Fit Simplify Resistance Bands 548,22,normal,GY422392
600094,Life Fitness Treadmill 286,13,normal,GY325013
600095,Rogue Weight Bench 566,4,normal,GY540469
600096,Lululemon Yoga Mat 545,30,normal,GY713574
600097,PowerBlock Dumbbell Set 694,4,normal,GY267735
600098,Dynamax Medicine Ball 179,25,normal,GY037481
600099,Keiser Stationary Bike 712,12,normal,GY620487
600100,SKLZ Medicine Ball 925,13,normal,GY435333
600101,Concept2 Rowing Machine 583,8,normal,GY135973
600102,Peloton Stationary Bike 695,14,normal,GY038987
600103,ProForm Elliptical 959,13,normal,GY907436
600104,Ivanko Barbell 502,9,normal,GY597157
600105,TechnoGym Treadmill 671,6,fix,GY326104
600106,Eleiko Barbell 164,8,normal,GY140511
600107,TechnoGym Treadmill 330,14,normal,GY620487
600108,Body-Solid Weight Bench 400,10,fix,GY732773
600109,CAP Kettlebell 426,18,normal,GY780846
600110,Life Fitness Treadmill 742,6,normal,GY739492
600111,NordicTrack Elliptical 512,14,normal,GY438587
600112,WODFitters Resistance Bands 682,18,normal,GY139035
600113,Peloton Stationary Bike 645,11,normal,GY025020
600114,Body-Solid Weight Bench 284,4,normal,GY943983
600115,SKLZ Medicine Ball 586,16,normal,GY741740
600116,NordicTrack Elliptical 662,8,fix,GY475709
600117,Peloton Stationary Bike 770,13,normal,GY293937
600118,CAP Kettlebell 956,30,normal,GY525339
600119,Concept2 Rowing Machine 183,15,normal,GY378247
600120,Dynamax Medicine Ball 190,16,normal,GY325013
600121,Precor Treadmill 655,14,normal,GY119378
600122,Valeo Medicine Ball 357,29,normal,GY305280
600123,Fit Simplify Resistance Bands 606,28,normal,GY692370
600124,TheraBand Resistance Bands 679,24,normal,GY513307
600125,Gaiam Yoga Mat 888,11,normal,GY758586
600126,Eleiko Barbell 348,3,normal,GY974363
600127,Peloton Stationary Bike 110,10,normal,GY802639
600128,Cybex Cable Machine 806,10,normal,GY078323
600129,Body-Solid Weight Bench 564,9,normal,GY252599
600130,Concept2 Rowing Machine 327,12,normal,GY256065
600131,Precor Treadmill 478,12,normal,GY982916
600132,Concept2 Rowing Machine 630,9,normal,GY691321
600133,CAP Kettlebell 647,19,normal,GY005722
600134,TechnoGym Treadmill 220,9,normal,GY788302
600135,Kettlebell Kings Kettlebell 923,18,normal,GY710610
600136,Schwinn Stationary Bike 682,5,normal,GY780846
600137,Rogue Kettlebell 829,12,normal,GY703805
600138,Cybex Cable Machine 464,7,normal,GY326104
600139,TheraBand Resistance Bands 676,26,normal,GY087383
600140,Yes4All Dumbbell Set 780,6,normal,GY328261
600141,Lululemon Yoga Mat 581,0,broken,GY779605
600142,Rogue Barbell 822,10,normal,GY438587
600143,Concept2 Rowing Machine 137,6,normal,GY959431
600144,Keiser Stationary Bike 317,15,normal,GY347198
600145,Eleiko Barbell 302,7,normal,GY119378
600146,PowerBlock Dumbbell Set 754,5,normal,GY211095
600147,Life Fitness Cable Machine 124,8,normal,GY557296
600148,Rogue Barbell 380,4,normal,GY239292
600149,Gaiam Yoga Mat 364,26,normal,GY023250
600150,WODFitters Resistance Bands 732,19,normal,GY709624
600151,Ivanko Barbell 809,5,normal,GY952195
600152,SKLZ Medicine Ball 685,28,normal,GY286940
600153,WODFitters Resistance Bands 683,24,normal,GY378247
600154,Concept2 Rowing Machine 169,7,normal,GY449244
600155,TechnoGym Treadmill 406,7,normal,GY267735
600156,Schwinn Stationary Bike 614,8,normal,GY989661
600157,Lululemon Yoga Mat 665,22,normal,GY202899
600158,Cybex Cable Machine 347,10,normal,GY392142
600159,Dynamax Medicine Ball 349,21,normal,GY807355
600160,CAP Weight Bench 156,4,normal,GY508427
600161,Fit Simplify Resistance Bands 838,25,normal,GY708418
600162,Ivanko Barbell 641,10,normal,GY571263
600163,ProForm Elliptical 330,11,normal,GY571749
600164,Cybex Cable Machine 832,3,normal,GY185662
600165,Bowflex Dumbbell Set 420,10,normal,GY796570
600166,Bowflex Dumbbell Set 972,10,normal,GY807355
600167,Matrix Elliptical 705,15,fix,GY048994
600168,Schwinn Stationary Bike 277,10,normal,GY147429
600169,Hammer Strength Cable Machine 545,5,normal,GY025020
600170,SKLZ Medicine Ball 493,17,normal,GY654324
600171,Peloton Stationary Bike 731,6,normal,GY328261
600172,Concept2 Rowing Machine 113,13,normal,GY011071
600173,Matrix Elliptical 715,6,fix,GY771938
600174,Matrix Elliptical 205,13,normal,GY991101
600175,Eleiko Barbell 618,10,normal,GY796518
600176,Keiser Stationary Bike 443,8,normal,GY327800
600177,Cybex Cable Machine 833,10,normal,GY530688
600178,Yes4All Dumbbell Set 642,8,normal,GY312544
600179,TechnoGym Treadmill 210,6,normal,GY054577
600180,Bowflex Dumbbell Set 888,6,normal,GY565952
600181,Manduka Yoga Mat 899,16,normal,GY201323
600182,CAP Kettlebell 147,24,normal,GY289917
600183,Valeo Medicine Ball 410,20,normal,GY654855
600184,Gaiam Yoga Mat 498,25,normal,GY956299
600185,Rogue Weight Bench 707,3,normal,GY733070
600186,Valeo Medicine Ball 836,30,normal,GY028745
600187,Precor Treadmill 711,11,normal,GY801404
600188,Valeo Medicine Ball 272,13,normal,GY081754
600189,Yes4All Dumbbell Set 112,4,normal,GY732536
600190,NordicTrack Elliptical 247,12,normal,GY617991
600191,Cybex Cable Machine 750,7,fix,GY202084
600192,CAP Weight Bench 483,5,normal,GY739492
600193,Yes4All Dumbbell Set 730,8,normal,GY895647
600194,Body-Solid Weight Bench 380,6,normal,GY715536
600195,Body-Solid Weight Bench 986,5,normal,GY587184
600196,Bowflex Dumbbell Set 482,5,fix,GY646234
600197,Ivanko Barbell 549,7,fix,GY421891
600198,Cybex Cable Machine 148,9,normal,GY653367
600199,TechnoGym Treadmill 444,11,normal,GY671669
600200,Ivanko Barbell 785,6,normal,GY212122
600201,Bowflex Dumbbell Set 412,5,normal,GY575118
600202,Body-Solid Weight Bench 470,3,normal,GY327682
600203,Life Fitness Treadmill 578,8,normal,GY021749
600204,Cybex Cable Machine 902,8,normal,GY795903
600205,TechnoGym Treadmill 448,10,normal,GY252599
600206,Precor Treadmill 434,9,normal,GY780708
600207,CAP Kettlebell 129,0,broken,GY448837
600208,Keiser Stationary Bike 211,14,normal,GY021749
600209,Eleiko Barbell 803,5,normal,GY615222
600210,TechnoGym Treadmill 333,9,normal,GY612381
600211,TechnoGym Treadmill 683,14,normal,GY466238
600212,Manduka Yoga Mat 401,14,normal,GY707780
600213,Lululemon Yoga Mat 465,19,normal,GY374192
600214,Kettlebell Kings Kettlebell 992,12,normal,GY161336
600215,Manduka Yoga Mat 292,10,normal,GY734828
600216,Keiser Stationary Bike 184,9,normal,GY438587
600217,Fit Simplify Resistance Bands 891,22,normal,GY732536
600218,Rogue Weight Bench 898,0,broken,GY139035
600219,Peloton Stationary Bike 402,13,normal,GY671669
600220,Dynamax Medicine Ball 255,11,normal,GY606566
600221,TechnoGym Treadmill 424,10,normal,GY239292
600222,Lululemon Yoga Mat 917,30,normal,GY954342
600223,NordicTrack Elliptical 437,12,normal,GY303789
600224,Precor Treadmill 578,12,normal,GY285430
600225,Schwinn Stationary Bike 785,9,normal,GY600577
600226,NordicTrack Elliptical 955,11,normal,GY513307
600227,NordicTrack Elliptical 174,0,broken,GY614482
600228,Hammer Strength Cable Machine 579,8,normal,GY648787
600229,Bowflex Dumbbell Set 496,7,normal,GY954291
600230,TechnoGym Treadmill 470,8,normal,GY577267
600231,Yes4All Dumbbell Set 651,7,normal,GY866227
600232,Ivanko Barbell 467,7,normal,GY626194
600233,TheraBand Resistance Bands 460,11,fix,GY690767
600234,Rogue Barbell 309,8,normal,GY180063
600235,Life Fitness Treadmill 986,10,normal,GY525339
600236,Gaiam Yoga Mat 590,15,normal,GY012784
600237,Life Fitness Cable Machine 595,4,normal,GY930378
600238,CAP Weight Bench 961,7,normal,GY110573
600239,Yes4All Dumbbell Set 184,0,broken,GY833621
600240,Dynamax Medicine Ball 305,17,normal,GY811259
600241,Body-Solid Weight Bench 797,3,normal,GY561808
600242,TheraBand Resistance Bands 890,22,normal,GY036580
600243,Schwinn Stationary Bike 980,7,normal,GY681531
600244,Life Fitness Cable Machine 311,9,normal,GY091064
600245,Gaiam Yoga Mat 770,18,normal,GY136869
600246,Hammer Strength Cable Machine 954,9,normal,GY827170
600247,Body-Solid Weight Bench 363,3,normal,GY994209
600248,Keiser Stationary Bike 235,10,normal,GY241044
600249,Precor Treadmill 613,5,normal,GY270030
600250,Rogue Barbell 848,8,normal,GY556759
600251,TheraBand Resistance Bands 649,21,normal,GY194812
600252,Precor Treadmill 110,13,normal,GY417452
600253,Yes4All Dumbbell Set 198,5,fix,GY648763
600254,Matrix Elliptical 303,13,normal,GY347198
600255,CAP Kettlebell 610,26,fix,GY325013
600256,Concept2 Rowing Machine 760,11,normal,GY344522
600257,Rogue Kettlebell 764,24,normal,GY982123
600258,TheraBand Resistance Bands 708,10,normal,GY387831
600259,Schwinn Stationary Bike 315,13,normal,GY732019
600260,Bowflex Dumbbell Set 818,7,normal,GY648763
600261,Fit Simplify Resistance Bands 772,14,fix,GY814325
600262,Matrix Elliptical 425,11,normal,GY422392
600263,Rogue Barbell 736,8,normal,GY086594
600264,Hammer Strength Cable Machine 840,9,normal,GY199656
600265,Rogue Kettlebell 533,19,normal,GY471700
600266,CAP Weight Bench 828,6,normal,GY943983
600267,Precor Treadmill 404,10,normal,GY544467
600268,Rogue Weight Bench 289,5,normal,GY706800
600269,Gaiam Yoga Mat 228,18,normal,GY710610
600270,PowerBlock Dumbbell Set 824,5,normal,GY324747
600271,TheraBand Resistance Bands 429,15,normal,GY784078
600272,Matrix Elliptical 232,5,normal,GY841872
600273,Precor Treadmill 847,6,normal,GY327682
600274,Life Fitness Cable Machine 318,8,normal,GY784078
600275,SKLZ Medicine Ball 761,15,normal,GY488213
600276,Hammer Strength Cable Machine 407,4,normal,GY122128
600277,Bowflex Dumbbell Set 629,5,normal,GY615222
600278,Peloton Stationary Bike 466,14,normal,GY286940
600279,Rogue Kettlebell 111,13,normal,GY780846
600280,Fit Simplify Resistance Bands 371,25,normal,GY620487
600281,Cybex Cable Machine 722,4,normal,GY952195
600282,Concept2 Rowing Machine 903,12,normal,GY861178
600283,Concept2 Rowing Machine 509,5,normal,GY405450
600284,Ivanko Barbell 113,6,fix,GY507471
600285,Concept2 Rowing Machine 712,14,normal,GY691039
600286,Life Fitness Cable Machine 321,6,normal,GY012784
600287,CAP Weight Bench 708,9,normal,GY683723
600288,CAP Weight Bench 114,5,normal,GY912891
600289,Kettlebell Kings Kettlebell 511,22,normal,GY161621
600290,Body-Solid Weight Bench 189,9,normal,GY135907
600291,Yes4All Dumbbell Set 889,6,normal,GY331160
600292,Kettlebell Kings Kettlebell 571,15,normal,GY130019
600293,Ivanko Barbell 583,3,normal,GY168712
600294,Rogue Barbell 147,10,fix,GY684131
600295,CAP Kettlebell 391,19,normal,GY703558
600296,CAP Kettlebell 375,25,normal,GY833621
600297,Schwinn Stationary Bike 846,7,normal,GY133366
600298,Matrix Elliptical 319,10,normal,GY867762
600299,Matrix Elliptical 384,15,normal,GY449289
600300,Kettlebell Kings Kettlebell 617,12,normal,GY640289
600301,Rogue Barbell 685,9,normal,GY952285
600302,Kettlebell Kings Kettlebell 305,30,normal,GY943983
600303,Rogue Weight Bench 760,3,normal,GY311348
600304,Life Fitness Cable Machine 599,7,normal,GY873043
600305,Schwinn Stationary Bike 730,11,normal,GY833621
600306,Peloton Stationary Bike 472,13,normal,GY482096
600307,TechnoGym Treadmill 954,13,normal,GY715327
600308,CAP Kettlebell 252,18,normal,GY524878
600309,Schwinn Stationary Bike 731,12,fix,GY833621
600310,Life Fitness Cable Machine 125,8,fix,GY180063
600311,Kettlebell Kings Kettlebell 226,10,normal,GY091593
600312,Concept2 Rowing Machine 393,10,normal,GY749720
600313,Precor Treadmill 782,6,normal,GY600744
600314,CAP Kettlebell 185,24,normal,GY885593
600315,Concept2 Rowing Machine 462,12,normal,GY398592
600316,Kettlebell Kings Kettlebell 477,27,normal,GY648763
600317,Concept2 Rowing Machine 907,5,normal,GY312919
600318,Schwinn Stationary Bike 590,11,normal,GY090479
600319,Precor Treadmill 683,8,normal,GY289917
600320,Concept2 Rowing Machine 578,11,normal,GY277631
600321,Valeo Medicine Ball 508,10,normal,GY866227
600322,Keiser Stationary Bike 726,8,normal,GY202084
600323,Rogue Kettlebell 151,28,normal,GY431166
600324,Manduka Yoga Mat 295,24,normal,GY733921
600325,Life Fitness Treadmill 718,15,normal,GY632517
600326,WODFitters Resistance Bands 445,20,normal,GY522627
600327,Eleiko Barbell 787,6,normal,GY384360
600328,Manduka Yoga Mat 170,10,normal,GY137870
600329,CAP Weight Bench 122,7,normal,GY025020
600330,Life Fitness Cable Machine 623,6,normal,GY934081
600331,Cybex Cable Machine 235,6,normal,GY483589
600332,TechnoGym Treadmill 154,10,normal,GY653367
600333,NordicTrack Elliptical 823,14,normal,GY708418
600334,Concept2 Rowing Machine 941,7,fix,GY575673
600335,Kettlebell Kings Kettlebell 925,23,normal,GY344522
600336,Kettlebell Kings Kettlebell 765,15,normal,GY254611
600337,Eleiko Barbell 108,7,normal,GY514730
600338,Rogue Weight Bench 156,9,fix,GY249557
600339,Concept2 Rowing Machine 200,6,normal,GY507597
600340,NordicTrack Elliptical 129,11,normal,GY241044
600341,Dynamax Medicine Ball 775,30,normal,GY713574
600342,Valeo Medicine Ball 470,18,normal,GY644515
600343,NordicTrack Elliptical 556,10,normal,GY429615
600344,TheraBand Resistance Bands 463,17,normal,GY746186
600345,TheraBand Resistance Bands 645,14,normal,GY908649
600346,Life Fitness Treadmill 115,10,normal,GY577267
600347,ProForm Elliptical 999,7,normal,GY402209
600348,Precor Treadmill 980,0,broken,GY286940
600349,PowerBlock Dumbbell Set 371,4,fix,GY690767
600350,Yes4All Dumbbell Set 638,10,normal,GY820447
600351,Hammer Strength Cable Machine 339,7,normal,GY168712
600352,TheraBand Resistance Bands 194,30,normal,GY811259
600353,Rogue Kettlebell 412,20,normal,GY392142
600354,Rogue Barbell 883,8,normal,GY151081
600355,Kettlebell Kings Kettlebell 102,14,normal,GY745311
600356,CAP Kettlebell 120,24,normal,GY366005
600357,TechnoGym Treadmill 252,9,normal,GY732536
600358,Concept2 Rowing Machine 650,0,broken,GY285430
600359,Precor Treadmill 922,14,normal,GY620487
600360,Eleiko Barbell 656,8,normal,GY137870
600361,Hammer Strength Cable Machine 418,10,normal,GY524878
600362,Rogue Barbell 926,6,normal,GY674477
600363,Ivanko Barbell 803,5,normal,GY571263
600364,Cybex Cable Machine 849,7,fix,GY293326
600365,Fit Simplify Resistance Bands 840,10,normal,GY301352
600366,Eleiko Barbell 842,7,normal,GY069721
600367,Rogue Barbell 979,7,normal,GY854734
600368,PowerBlock Dumbbell Set 214,9,normal,GY270890
600369,Hammer Strength Cable Machine 546,7,normal,GY270890
600370,Life Fitness Cable Machine 548,6,normal,GY621809
600371,PowerBlock Dumbbell Set 841,7,normal,GY956299
600372,Valeo Medicine Ball 145,13,fix,GY320116
600373,Yes4All Dumbbell Set 776,10,fix,GY039784
600374,Kettlebell Kings Kettlebell 481,20,normal,GY954291
600375,Bowflex Dumbbell Set 298,4,normal,GY681531
600376,Concept2 Rowing Machine 675,6,normal,GY873043
600377,TheraBand Resistance Bands 961,22,fix,GY161336
600378,Manduka Yoga Mat 135,30,normal,GY788302
600379,Cybex Cable Machine 573,9,normal,GY324747
600380,Fit Simplify Resistance Bands 691,24,normal,GY091593
600381,CAP Kettlebell 522,28,normal,GY861583
600382,Matrix Elliptical 636,15,normal,GY320116
600383,Dynamax Medicine Ball 826,21,normal,GY577267
600384,Peloton Stationary Bike 464,13,normal,GY436106
600385,Gaiam Yoga Mat 497,0,broken,GY087761
600386,Rogue Weight Bench 264,5,normal,GY325707
600387,Eleiko Barbell 763,8,normal,GY380402
600388,WODFitters Resistance Bands 631,15,normal,GY293326
600389,ProForm Elliptical 751,12,normal,GY582944
600390,TheraBand Resistance Bands 723,25,normal,GY743300
600391,Rogue Kettlebell 903,17,normal,GY145654
600392,Life Fitness Treadmill 331,11,normal,GY525339
600393,Matrix Elliptical 997,8,fix,GY080718
600394,WODFitters Resistance Bands 866,28,normal,GY642724
600395,Ivanko Barbell 104,3,normal,GY495596
600396,Eleiko Barbell 388,9,normal,GY123898
600397,Peloton Stationary Bike 724,5,normal,GY544503
600398,Yes4All Dumbbell Set 678,9,normal,GY301559
600399,CAP Kettlebell 281,10,normal,GY231870
600400,NordicTrack Elliptical 358,8,normal,GY023250
600401,Manduka Yoga Mat 943,24,normal,GY220250
600402,Keiser Stationary Bike 641,5,normal,GY692370
600403,TheraBand Resistance Bands 724,14,normal,GY311348
600404,Bowflex Dumbbell Set 498,8,fix,GY978564
600405,WODFitters Resistance Bands 828,26,normal,GY814424
600406,Concept2 Rowing Machine 145,6,normal,GY814325
600407,Rogue Barbell 396,4,normal,GY069721
600408,Concept2 Rowing Machine 740,13,normal,GY147429
600409,NordicTrack Elliptical 966,14,normal,GY256065
600410,Kettlebell Kings Kettlebell 581,29,fix,GY421169
600411,Rogue Barbell 789,7,normal,GY167439
600412,Dynamax Medicine Ball 346,23,fix,GY106685
600413,Hammer Strength Cable Machine 550,3,normal,GY507471
600414,Dynamax Medicine Ball 510,13,normal,GY045514
600415,Body-Solid Weight Bench 399,5,fix,GY475709
600416,CAP Weight Bench 480,9,normal,GY147429
600417,Concept2 Rowing Machine 686,13,normal,GY069721
600418,Manduka Yoga Mat 904,12,normal,GY703185
600419,NordicTrack Elliptical 385,11,normal,GY114249
600420,Rogue Barbell 618,10,normal,GY612381
600421,Matrix Elliptical 838,9,normal,GY814424
600422,Kettlebell Kings Kettlebell 951,15,normal,GY259520
600423,Manduka Yoga Mat 549,21,normal,GY937906
600424,ProForm Elliptical 486,10,normal,GY954291
600425,TheraBand Resistance Bands 106,10,fix,GY421037
600426,Ivanko Barbell 963,3,normal,GY544467
600427,Precor Treadmill 953,6,normal,GY254611
600428,TheraBand Resistance Bands 423,17,normal,GY745311
600429,Manduka Yoga Mat 313,24,normal,GY715327
600430,Bowflex Dumbbell Set 383,4,normal,GY139035
600431,Fit Simplify Resistance Bands 136,15,normal,GY684131
600432,Rogue Barbell 583,4,fix,GY170656
600433,PowerBlock Dumbbell Set 867,0,broken,GY707924
600434,Ivanko Barbell 697,10,normal,GY286940
600435,Rogue Weight Bench 766,9,fix,GY841954
600436,Body-Solid Weight Bench 682,4,normal,GY147429
600437,Fit Simplify Resistance Bands 945,14,normal,GY895647
600438,Manduka Yoga Mat 943,30,normal,GY784078
600439,Valeo Medicine Ball 172,27,fix,GY339848
600440,Schwinn Stationary Bike 720,0,broken,GY841872
600441,ProForm Elliptical 886,13,fix,GY212122
600442,Bowflex Dumbbell Set 993,10,normal,GY417452
600443,Peloton Stationary Bike 296,11,normal,GY471700
600444,Manduka Yoga Mat 730,25,normal,GY240005
600445,Life Fitness Treadmill 663,14,normal,GY387831
600446,Peloton Stationary Bike 389,14,normal,GY040202
600447,Concept2 Rowing Machine 314,14,normal,GY206862
600448,Kettlebell Kings Kettlebell 673,13,normal,GY281837
600449,PowerBlock Dumbbell Set 361,3,normal,GY086594
600450,Cybex Cable Machine 824,9,normal,GY086401
600451,NordicTrack Elliptical 609,14,fix,GY494364
600452,Dynamax Medicine Ball 919,0,broken,GY124284
600453,Life Fitness Treadmill 720,11,normal,GY841954
600454,Rogue Weight Bench 267,5,normal,GY180063
600455,Life Fitness Cable Machine 195,4,normal,GY368836
600456,Lululemon Yoga Mat 623,17,fix,GY954342
600457,Concept2 Rowing Machine 159,7,normal,GY937518
600458,Keiser Stationary Bike 218,9,normal,GY249557
600459,SKLZ Medicine Ball 374,24,normal,GY305883
600460,ProForm Elliptical 376,0,broken,GY398592
600461,Rogue Barbell 501,7,normal,GY632224
600462,Lululemon Yoga Mat 383,29,normal,GY233873
600463,Fit Simplify Resistance Bands 286,28,normal,GY251523
600464,Hammer Strength Cable Machine 613,7,normal,GY996706
600465,Rogue Barbell 268,7,normal,GY421169
600466,SKLZ Medicine Ball 485,25,normal,GY997519
600467,Manduka Yoga Mat 637,13,fix,GY766786
600468,CAP Weight Bench 752,8,normal,GY347198
600469,WODFitters Resistance Bands 164,16,fix,GY209197
600470,Matrix Elliptical 948,9,normal,GY328750
600471,Schwinn Stationary Bike 335,12,normal,GY996027
600472,Rogue Barbell 472,5,normal,GY690767
600473,Gaiam Yoga Mat 665,23,normal,GY595334
600474,Gaiam Yoga Mat 798,11,normal,GY045760
600475,Rogue Barbell 437,8,fix,GY062267
600476,Bowflex Dumbbell Set 737,5,normal,GY425016
600477,TheraBand Resistance Bands 627,21,normal,GY347198
600478,TechnoGym Treadmill 905,0,broken,GY788302
600479,Ivanko Barbell 886,6,fix,GY101318
600480,Matrix Elliptical 155,12,normal,GY861980
600481,CAP Weight Bench 275,0,broken,GY908649
600482,Body-Solid Weight Bench 896,9,normal,GY089276
600483,Lululemon Yoga Mat 624,21,normal,GY708418
600484,WODFitters Resistance Bands 322,15,normal,GY141350
600485,Eleiko Barbell 714,8,normal,GY277631
600486,Dynamax Medicine Ball 749,14,normal,GY135973
600487,Rogue Barbell 277,3,normal,GY170656
600488,Kettlebell Kings Kettlebell 171,24,normal,GY833621
600489,Gaiam Yoga Mat 274,21,normal,GY305280
600490,Life Fitness Treadmill 814,10,normal,GY326104
600491,PowerBlock Dumbbell Set 674,8,normal,GY289917
600492,Bowflex Dumbbell Set 946,3,normal,GY721727
600493,Peloton Stationary Bike 267,14,normal,GY239292
600494,Dynamax Medicine Ball 936,13,normal,GY312919
600495,Ivanko Barbell 834,5,normal,GY504745
600496,Concept2 Rowing Machine 682,9,normal,GY293326
600497,Fit Simplify Resistance Bands 680,16,fix,GY632224
600498,Rogue Kettlebell 135,10,normal,GY488844
600499,SKLZ Medicine Ball 287,25,normal,GY061415
600500,CAP Weight Bench 719,3,normal,GY260254
600501,Fit Simplify Resistance Bands 756,12,normal,GY259152
600502,WODFitters Resistance Bands 374,16,normal,GY713574
600503,Valeo Medicine Ball 122,22,normal,GY561808
600504,Kettlebell Kings Kettlebell 893,28,fix,GY387831
600505,Life Fitness Treadmill 158,12,normal,GY063283
600506,Life Fitness Treadmill 643,13,normal,GY251108
600507,Body-Solid Weight Bench 894,4,fix,GY328750
600508,Lululemon Yoga Mat 518,22,normal,GY180063
600509,Kettlebell Kings Kettlebell 977,23,fix,GY650332
600510,TheraBand Resistance Bands 886,21,fix,GY202084
600511,CAP Kettlebell 461,18,normal,GY634522
600512,Concept2 Rowing Machine 461,14,normal,GY119378
